seed,model,class,precision,recall,f1,support
5,rf,micro avg,0.9758107065138234,0.9338956669043512,0.9543932022397683,3499.4650860396787
5,rf,normal,0.9903571603115644,0.9733047740352624,0.9817569259465021,499.4650860399464
5,rf,password,0.9967994638404395,0.8894069557597741,0.9400459752705213,499.99999999999596
5,rf,scanning,0.998001998001998,0.999,0.9985007496251874,500.0
5,rf,weighted avg,0.9759574226510165,0.9338956669043512,0.9532080352689668,3499.4650860396787
5,rf,xss,0.9683600060519377,0.792759520974908,0.8718052383701621,499.99999999998875
5,xgboost,ddos,0.9665983275538771,0.9851600000000021,0.9757909008810848,499.9999999998965
5,xgboost,dos,0.963863488314572,0.9518902456421819,0.9578394512767785,499.9999999998435
5,xgboost,injection,0.9469472584910441,0.9317425974025991,0.9392834005696207,500.0000000000076
5,xgboost,macro avg,0.9726178732343828,0.9250228968683614,0.9467535054524227,3499.4650860396787
5,xgboost,micro avg,0.972667490585504,0.9250176043888876,0.9482443155517278,3499.4650860396787
5,xgboost,normal,0.9905623354640041,0.9596468710246794,0.974859561343627,499.4650860399464
5,xgboost,password,0.9756297928549994,0.880379971306893,0.9255607870443441,499.99999999999596
5,xgboost,scanning,0.9956999748066233,0.998,0.9968486606951918,500.0
5,xgboost,weighted avg,0.9726151303170757,0.9250176043888876,0.9467492092753522,3499.4650860396787
5,xgboost,xss,0.9690239351555596,0.7683405927021736,0.8570917763563124,499.99999999998875
5,lightgbm,ddos,0.9621941202432301,0.9867333333333356,0.9743092384880703,499.9999999998965
5,lightgbm,dos,0.940173526304545,0.9506332754342299,0.9453744697401586,499.9999999998435
5,lightgbm,injection,0.9499498814139299,0.9463990331890348,0.9481711328807971,500.0000000000076
5,lightgbm,macro avg,0.9704196720411584,0.9218989115498519,0.94281086913866,3499.4650860396787
5,lightgbm,micro avg,0.9697367299490858,0.9218944712976901,0.9452105985195534,3499.4650860396787
5,lightgbm,normal,0.9720786628392933,0.9509475222897948,0.9613969929751637,499.4650860399464
5,lightgbm,password,0.9892251828150954,0.9173153994810689,0.9519141655593683,499.99999999999596
5,lightgbm,scanning,1.0,0.993,0.9964877069744105,500.0
5,lightgbm,weighted avg,0.970419418454593,0.9218944712976901,0.9428080281395754,3499.4650860396787
5,lightgbm,xss,0.9793163306720152,0.708263817121499,0.8220223773526513,499.99999999998875
5,catboost,ddos,0.9687502582763033,0.9793940740740739,0.9740430895783329,499.9999999998965
5,catboost,dos,0.9527811443665734,0.9571096998271028,0.954940517001756,499.9999999998435
5,catboost,injection,0.9720938849791987,0.9301625974025991,0.9506660971808466,500.0000000000076
5,catboost,macro avg,0.978632788364746,0.9491650804024908,0.9632578423179208,3499.4650860396787
5,catboost,micro avg,0.9783695086380817,0.9491613812382729,0.9635441476529601,3499.4650860396787
5,catboost,normal,0.9822331460639836,0.9733654135235807,0.9777791742664942,499.4650860399464
5,catboost,password,0.9977737428530521,0.8976137739415924,0.9450473287665864,499.99999999999596
5,catboost,scanning,0.9996364958197019,1.0,0.9998182148700235,500.0
5,catboost,weighted avg,0.9786322380287538,0.9491613812382729,0.9632556226463462,3499.4650860396787
5,catboost,xss,0.9771608461944079,0.906510004048487,0.9405104745614056,499.99999999998875
6,rf,ddos,0.9577262537128831,0.9777768599978304,0.9676477009613657,499.9999999998965
6,rf,dos,0.9487021191568028,0.9468795304181262,0.9477899485841865,499.9999999998435
6,rf,injection,0.9464503259437026,0.9521134632034641,0.9492734484197575,500.0000000000076
6,rf,macro avg,0.972376673375913,0.9336760657892726,0.9512079404896987,3499.4650860396787
6,rf,micro avg,0.9719827376100217,0.9336711559537545,0.952441835588832,3499.4650860396787
6,rf,normal,0.9898070751116494,0.96579674173268,0.9776545124864431,499.4650860399464
6,rf,password,0.9888674964307028,0.9176690226694731,0.9519388271958834,499.99999999999596
6,rf,scanning,1.0,0.998,0.998998998998999,500.0
6,rf,weighted avg,0.9723740090357972,0.9336711559537545,0.9512038979745686,3499.4650860396787
6,rf,xss,0.9750834432756502,0.7774968425033335,0.8651521467812547,499.99999999998875
6,xgboost,ddos,0.9681608972365664,0.9863333333333357,0.9771626337273884,499.9999999998965
6,xgboost,dos,0.9681009071201433,0.942259652245819,0.955005503657009,499.9999999998435
6,xgboost,injection,0.9544784178207035,0.9525040692640702,0.9534902214951867,500.0000000000076
6,xgboost,macro avg,0.9752550735807498,0.9281279976358928,0.9492577592820348,3499.4650860396787
6,xgboost,micro avg,0.9751299527227008,0.9281200719672694,0.9510444451940666,3499.4650860396787
6,xgboost,normal,0.9710962140367011,0.9799785805264468,0.975517178570667,499.4650860399464
6,xgboost,password,0.9966102461374157,0.8861514770597304,0.938140637539461,499.99999999999596
6,xgboost,scanning,1.0,0.997,0.9984977466199298,500.0
6,xgboost,weighted avg,0.9752557092870578,0.9281200719672694,0.9492537453743037,3499.4650860396787
6,xgboost,xss,0.9683388327137188,0.7526688710218474,0.8469903933646014,499.99999999998875
6,lightgbm,ddos,0.9768582062933836,0.9459714285714297,0.9611667473432143,499.9999999998965
6,lightgbm,dos,0.9686188719451218,0.9592065814451592,0.9638897497154819,499.9999999998435
6,lightgbm,injection,0.944270877372452,0.9297168398268413,0.9369373427519346,500.0000000000076
6,lightgbm,macro avg,0.9734278776718162,0.9105811644039098,0.9370705629445187,3499.4650860396787
6,lightgbm,micro avg,0.9724209402725,0.9105687203624122,0.9404789731442107,3499.4650860396787
6,lightgbm,normal,0.9453042257394277,0.9919914322105787,0.968085267643919,499.4650860399464
6,lightgbm,password,0.9963063629489635,0.8848834709112886,0.9372951274440849,499.99999999999596
6,lightgbm,scanning,1.0,0.996,0.9979959919839679,500.0
6,lightgbm,weighted avg,0.9734321765385447,0.9105687203624122,0.9370658221632542,3499.4650860396787
6,lightgbm,xss,0.9826365994033647,0.666298397862071,0.7941237137290273,499.99999999998875
6,catboost,ddos,0.9543424885758826,0.9867333333333356,0.9702676570025842,499.9999999998965
6,catboost,dos,0.9521820342132472,0.9467004683011551,0.9494333393498533,499.9999999998435
6,catboost,injection,0.9604643813250211,0.9517791341991348,0.9561020339358431,500.0000000000076
6,catboost,macro avg,0.9701306598471692,0.9536857192755991,0.9615797974774637,3499.4650860396787
6,catboost,micro avg,0.9698828644571043,0.9536859993525661,0.9617162413544083,3499.4650860396787
6,catboost,normal,0.9646163848778881,0.9518534254051747,0.9581924069154627,499.4650860399464
6,catboost,password,0.9884296542254042,0.9181419680531594,0.9519901979114023,499.99999999999596
6,catboost,scanning,0.9981663610601768,0.998,0.9980831735977999,500.0
6,catboost,weighted avg,0.9701315027367517,0.9536859993525661,0.9615803152601694,3499.4650860396787
6,catboost,xss,0.9727133146525644,0.9225917056372326,0.9469897736293001,499.99999999998875
7,rf,ddos,0.9646590041472368,0.9464740740740739,0.9554800219325651,499.9999999998965
7,rf,dos,0.972976562064288,0.9453931009236438,0.9589865257807404,499.9999999998435
7,rf,injection,0.953596750706238,0.937684603174604,0.9455737391369712,500.0000000000076
7,rf,macro avg,0.9730599521067784,0.9348532702617415,0.9525917223663034,3499.4650860396787
7,rf,micro avg,0.9724039191294886,0.9348444083752997,0.9532543333460046,3499.4650860396787
7,rf,normal,0.9455269292256582,0.9928286915703818,0.9686006570890731,499.4650860399464
7,rf,password,0.992371525391142,0.8790573942906474,0.932283901465949,499.99999999999596
7,rf,scanning,1.0,0.998,0.998998998998999,500.0
7,rf,weighted avg,0.9730641606923592,0.9348444083752997,0.9525892753058358,3499.4650860396787
7,rf,xss,0.9822888932128858,0.8445350277988397,0.9082182121598257,499.99999999998875
7,xgboost,ddos,0.9524103357381221,0.9808846485779661,0.9664378018370433,499.9999999998965
7,xgboost,dos,0.964099143631942,0.9404792091639975,0.952142713191704,499.9999999998435
7,xgboost,injection,0.9709665220575117,0.9145119336219344,0.9418940522966586,500.0000000000076
7,xgboost,macro avg,0.9717813147751843,0.9292903951776196,0.9490878015919695,3499.4650860396787
7,xgboost,micro avg,0.9722789247890836,0.9292823411490915,0.9502945307756357,3499.4650860396787
7,xgboost,normal,0.9839013849528057,0.981980722473802,0.9829401154718029,499.4650860399464
7,xgboost,password,0.9942905142705238,0.9064624801379303,0.9483473635918407,499.99999999999596
7,xgboost,scanning,1.0,0.998,0.998998998998999,500.0
7,xgboost,weighted avg,0.9717794621506912,0.9292823411490915,0.9490826270653404,3499.4650860396787
7,xgboost,xss,0.9368013027753843,0.7827137722677063,0.8528535657557381,499.99999999998875
7,lightgbm,ddos,0.9642836819598447,0.9867333333333356,0.9753793476129152,499.9999999998965
7,lightgbm,dos,0.961544283937319,0.9365231044940502,0.9488687739856264,499.9999999998435
7,lightgbm,injection,0.9440636700669705,0.9458020634920654,0.944932067248724,500.0000000000076
7,lightgbm,macro avg,0.9723911828778633,0.9274033446247351,0.947949794571195,3499.4650860396787
7,lightgbm,micro avg,0.9722784380771801,0.9274008112277522,0.9493095347985149,3499.4650860396787
7,lightgbm,normal,0.9907816234505196,0.9439771021767801,0.9668132293773078,499.4650860399464
7,lightgbm,password,0.9753003917542084,0.9118093551317391,0.9424868084462115,499.99999999999596
7,lightgbm,scanning,1.0,0.998,0.998998998998999,500.0
7,lightgbm,weighted avg,0.9723883717901257,0.9274008112277522,0.9479469111834868,3499.4650860396787
7,lightgbm,xss,0.9707646289761814,0.7689784537451749,0.8581693363285803,499.99999999998875
7,catboost,ddos,0.9608295146191665,0.9865333333333356,0.9735117878200552,499.9999999998965
7,catboost,dos,0.9687400884714416,0.9430038113466918,0.9556987164649048,499.9999999998435
7,catboost,injection,0.9392217544617922,0.9563628715728728,0.9477148124162565,500.0000000000076
7,catboost,macro avg,0.9722129815006954,0.9461748583036567,0.9583535238106687,3499.4650860396787
7,catboost,micro avg,0.9717271920260162,0.9461708791932826,0.9587787645364872,3499.4650860396787
7,catboost,normal,0.9710094834813546,0.972206629512622,0.9716076877375357,499.4650860399464
7,catboost,password,0.9921489869548583,0.8960692094108352,0.9416646445517259,499.99999999999596
7,catboost,scanning,0.995841202963824,0.997,0.9964202645733392,500.0
7,catboost,weighted avg,0.9722131654624945,0.9461708791932826,0.9583514978332295,3499.4650860396787
7,catboost,xss,0.9776998395524306,0.8720481529492391,0.9218567531108646,499.99999999998875
8,rf,ddos,0.9666463077679229,0.9681503257800971,0.967397732198313,499.9999999998965
8,rf,dos,0.9464929362074614,0.9537359624533627,0.9501006453541554,499.9999999998435
8,rf,injection,0.918277819535257,0.9322629137529148,0.9252175218574896,500.0000000000076
8,rf,macro avg,0.9687280631826137,0.926916215179492,0.9457419190772508,3499.4650860396787
8,rf,micro avg,0.9678985143621058,0.9269105692303632,0.9469612222922618,3499.4650860396787
8,rf,normal,0.9795664201472194,0.9638526261214836,0.9716459950642842,499.4650860399464
8,rf,password,0.9939869768711126,0.9012894475060736,0.9453713048816007,499.99999999999596
8,rf,scanning,0.9976348585463477,0.997,0.9973173282408039,500.0
8,rf,weighted avg,0.9687264064755746,0.9269105692303632,0.9457379594858479,3499.4650860396787
8,rf,xss,0.9784911232029756,0.7721222306425121,0.8631429059441091,499.99999999998875
8,xgboost,ddos,0.9727428948626955,0.984733333333335,0.9787013906342389,499.9999999998965
8,xgboost,dos,0.9627765654985716,0.958229134531078,0.9604974676444332,499.9999999998435
8,xgboost,injection,0.939863479587833,0.9511190187590198,0.9454577514646573,500.0000000000076
8,xgboost,macro avg,0.9766777782070734,0.9512228373175733,0.963293264444262,3499.4650860396787
8,xgboost,micro avg,0.9763613339885713,0.9512186254555005,0.96362600318003,3499.4650860396787
8,xgboost,normal,0.9924211422803931,0.9787772953580336,0.9855520001944198,499.4650860399464
8,xgboost,password,0.9929482322761332,0.8975805730471993,0.9428589935504175,499.99999999999596
